village_code,name,chu,village,visits
,,MWARENI,MWARENI,369
,,MWARENI,NJORO,218
,,BUNI,MWATSAMA,190
,,MWARENI,MKWAJUNI,176
,,MADZIMBANI,KADZONZO A,159
,,MWARENI,MAJENGO MAKABURINI,125
,,MWARENI,MAJENGO CC,89
,,MADZIMBANI,KADZONZO B,33
,,MWARENI,KAPTUKU,33
,,MADZIMBANI,MADZIMBANI B,17
,,MADZIMBANI,DZIHOSHE I,17
,,BUNI,MUUNGANO SABA,16
,,MADZIMBANI,KIBANDAHASARA,8
,,MADZIMBANI,KADZONZO C,8
,,MWELE KISURUTINI,KOLONGONI,7
,,VISHAKANI,KALOLENI CENTRE,6
,,MWARENI,VIL,6
,,MADZIMBANI,KADZANDANI,6
,,MWARENI,MARKET,5
,,MWARENI,GREEN ESTATE,5
,,KALIANGOMBE,KALIANGOMBE,4
,,MWARENI,RAILWAY STATION,3
,,MIKOMANI,MIKOMANI,3
,,VISHAKANI,CHANDANI,3
,,KOMBENI,MIYUNI,3
,,VISHAKANI,NGOME,2
,,MBALAMWENI,KIBAO KICHE A,2
,,MAZERA,MIWANI,2
,,MWARENI,KASARANI K,2
,,MAZERA,KASARANI ,2
,,MAZERA,GANGA A,2
,,MADZIMBANI,KABORORINI,2
,,RIBE,MAKOBENI,2
,,KAMBE,WERUNI,2
,,KOMBENI,JIMBA A,2
,,KOMBENI,JIMBA MSKITINI,2
,,VISHAKANI,VISHAKANI,2
,,MWARENI,NGWENZENI,1
,,MWARENI,KARI,1
,,RIBE,CHAURINGO,1
,,BUNI,KISURUTINI BUKINI,1
,,MWARENI,KABENDERRANI,1
,,MADZIMBANI,KAPTUKU,1
,,BUNI,MWELE B,1
,,CHALANI,MWAMBANI,1
,,KAMBE,BONDORA,1
,,KAMBE,MAGAONI,1
,,KOMBENI,JIMBA MISSION,1
,,MADZIMBANI,DZIHOSHE II,1
,,MADZIMBANI,KAFUMBINI,1
,,MADZIMBANI,KAWALA,1
,,MAZERA,MGANDINI A,1
,,MADZIMBANI,MGANA,1
,,MADZIMBANI,MISUFINI,1
,,MADZIMBANI,MNAGONI,1
,,MADZIMBANI,PEMBE ZA KULO,1
,,BUNI,KOLONGONI,1
,,MAKOMBOANI,KINANI B,1
,,MAZERA,MBUYUNI,1
,,MAKOMBOANI,KINANI A,1
